Campus,StudyField,Branch,Role,EduLevel,ProgLang,Databases,Platform,WebFramework,Industry,AISearch,AITool,Employment
Pretoria Campus,Data Science,I am a developer by profession,"Developer, front-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);Elixir;HTML/CSS;JavaScript;TypeScript,Firebase Realtime Database;PostgreSQL,Amazon Web Services (AWS);Firebase;Fly.io;Heroku;Vercel,Express;Gatsby;Next.js;Node.js;React;Remix;Svelte,Wholesale,ChatGPT;You.com,Synk Code;Tabnine;Whispr AI,"Independent contractor, freelancer, or self-employed"
Midrand Campus,Computer Science,None of these,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Retail and Consumer Services,Unknown,Adrenaline;AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter;Whispr AI,Unknown
Pretoria Campus,Data Science,I am a developer by profession,"Developer, back-end",Some college/university study without earning a degree,Bash/Shell (all shells);Go;JavaScript;PHP;SQL,BigQuery;Cassandra;Elasticsearch;Firebird;MariaDB;MongoDB;MySQL;PostgreSQL;Redis;Snowflake;SQLite,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Firebase;Google Cloud;Microsoft Azure,React,Oil & Gas,Unknown,Adrenaline;Tabnine,"Employed, full-time"
Umhlanga Campus,Data Science,I am a developer by profession,Blockchain,Some college/university study without earning a degree,C++;JavaScript;Python;Rust;Solidity;TypeScript,PostgreSQL;Redis,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Firebase;Google Cloud;Vercel,Express;Fastify;NestJS;Next.js;Node.js;React,Financial Services,Bing AI;ChatGPT;WolframAlpha,AWS CodeWhisperer;Codeium;GitHub Copilot;Tabnine,"Employed, full-time"
Tyger Valley Campus,Computer Science,I am a developer by profession,"Developer, full-stack","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Groovy;Java,Cassandra;Couchbase;InfluxDB;MariaDB;MongoDB;Oracle,Amazon Web Services (AWS),Unknown,Healthcare,ChatGPT,Rubber Duck.AI;Synk Code,"Employed, full-time"
Umhlanga Campus,IT,I am a developer by profession,"Developer, full-stack",Some college/university study without earning a degree,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;Ruby;Rust;TypeScript,PostgreSQL;Redis;Snowflake,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Heroku,Node.js;React;Ruby on Rails;Vue.js;WordPress,Higher Education,ChatGPT,AWS CodeWhisperer;Rubber Duck.AI,"Employed, full-time"
Nelson Mandela Bay Campus,Computer Science,I am a developer by profession,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C#,Microsoft SQL Server,Amazon Web Services (AWS),ASP.NET CORE,Legal Services,Unknown,AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify;Tabnine;Whispr AI,"Employed, full-time"
Tyger Valley Campus,Data Science,I am a developer by profession,"Developer, desktop or enterprise applications","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C#;Delphi;Perl;SQL;VBA,Microsoft Access;Microsoft SQL Server;MySQL;PostgreSQL;SQLite,Unknown,ASP.NET;CodeIgniter;jQuery;Node.js,Financial Services,ChatGPT,Adrenaline;AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter;Whispr AI,"Employed, full-time"
Midrand Campus,Data Science,I am a developer by profession,DevOps specialist,Some college/university study without earning a degree,Bash/Shell (all shells);HTML/CSS;JavaScript;Perl;PHP;Python;TypeScript,Elasticsearch;MariaDB;MongoDB;MySQL;PostgreSQL;SQLite,Amazon Web Services (AWS);Cloudflare;Google Cloud;OpenShift,Express;jQuery;NestJS;Next.js;Node.js;React;Symfony;WordPress,Retail and Consumer Services,Unknown,AWS CodeWhisperer;Mintlify;Replit Ghostwriter;Synk Code;Tabnine,"Employed, full-time"
Tyger Valley Campus,Data Science,I am a developer by profession,"Developer, embedded applications or devices","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);C;C++;HTML/CSS;JavaScript;Python;Rust,SQLite,Amazon Web Services (AWS);Digital Ocean,Flask;React,Other,ChatGPT,AWS CodeWhisperer;GitHub Copilot;Mintlify;Tabnine,"Employed, full-time"
Pretoria Campus,IT,I am a developer by profession,"Developer, desktop or enterprise applications",Some college/university study without earning a degree,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Python,Unknown,Cloudflare;Digital Ocean,Flask,Other,ChatGPT,Mintlify;Synk Code,"Employed, part-time"
Umhlanga Campus,Data Science,I am a developer by profession,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Java;JavaScript;Kotlin;Python;TypeScript,H2;MariaDB;PostgreSQL,Unknown,Angular;Gatsby;Spring Boot,Retail and Consumer Services,Unknown,AWS CodeWhisperer;GitHub Copilot;Mintlify;Tabnine,"Independent contractor, freelancer, or self-employed"
Tyger Valley Campus,IT,I am learning to code,Unknown,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);C;HTML/CSS;JavaScript;PowerShell;Python;SQL,Firebase Realtime Database;MySQL,Firebase;Netlify,jQuery;Node.js,Advertising Services,ChatGPT;WolframAlpha,AWS CodeWhisperer;Codeium;Tabnine,"Student, full-time"
Pretoria Campus,Computer Science,I am a developer by profession,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);Erlang;Groovy;Java;JavaScript;Python;Scala;TypeScript,MongoDB;Redis,Google Cloud;VMware,Angular;Node.js,Wholesale,Unknown,Adrenaline;Mintlify;Rubber Duck.AI,"Employed, full-time"
Nelson Mandela Bay Campus,Data Science,I am a developer by profession,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);C;Go;HTML/CSS;Java;JavaScript;Kotlin;Python;SQL,Dynamodb;MongoDB;PostgreSQL;SQLite,Amazon Web Services (AWS);Digital Ocean;Fly.io;Google Cloud,Flask;Node.js;React,Legal Services,Bing AI;ChatGPT;Phind,AWS CodeWhisperer;Codeium;GitHub Copilot,"Employed, full-time"
Pretoria Campus,Data Science,I am a developer by profession,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);Go;Python,Couchbase,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,Unknown,Insurance,Bing AI;ChatGPT,Rubber Duck.AI;Tabnine,"Employed, full-time"
Midrand Campus,Data Science,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Dart;HTML/CSS;JavaScript;PHP,Cloud Firestore;MongoDB;MySQL;SQLite,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,CodeIgniter;Express;jQuery;Node.js;React;WordPress,Oil & Gas,ChatGPT,Rubber Duck.AI;Synk Code,"Employed, full-time"
Nelson Mandela Bay Campus,Computer Science,I am learning to code,Unknown,Some college/university study without earning a degree,HTML/CSS;JavaScript,Unknown,Unknown,Unknown,Higher Education,ChatGPT,Mintlify;Synk Code,"Student, part-time"
Nelson Mandela Bay Campus,Data Science,I am a developer by profession,"Developer, full-stack",Some college/university study without earning a degree,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;Rust;TypeScript,MariaDB;MySQL;Supabase,Google Cloud;Vultr,jQuery;Next.js;Node.js;React;Spring Boot;Svelte,Insurance,ChatGPT;Phind,AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter;Tabnine,"Not employed, but looking for work"
Pretoria Campus,Data Science,"I am not primarily a developer, but I write code sometimes as part of my work/studies","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",HTML/CSS;JavaScript;Python;SQL,PostgreSQL;SQLite,Amazon Web Services (AWS);Cloudflare,Django;jQuery,Retail and Consumer Services,Unknown,GitHub Copilot;Synk Code;Tabnine;Whispr AI,"Independent contractor, freelancer, or self-employed"
Nelson Mandela Bay Campus,Data Science,I am a developer by profession,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C#;HTML/CSS;JavaScript;Lisp;PowerShell;Python;Rust;SQL,MariaDB;Microsoft SQL Server;MySQL;Redis;SQLite,"Amazon Web Services (AWS);Google Cloud;Linode, now Akamai;Managed Hosting",Django;jQuery;Lit;Node.js,Legal Services,ChatGPT;Phind,Adrenaline;GitHub Copilot;Synk Code,"Employed, full-time"
Nelson Mandela Bay Campus,Data Science,I am a developer by profession,Data scientist or machine learning specialist,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);C++;Python,MySQL;PostgreSQL,Amazon Web Services (AWS),Unknown,"Manufacturing, Transportation, or Supply Chain",Unknown,AWS CodeWhisperer;GitHub Copilot;Tabnine;Whispr AI,"Employed, full-time"
Umhlanga Campus,Computer Science,"I am not primarily a developer, but I write code sometimes as part of my work/studies",Educator,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",JavaScript;Python,Unknown,Unknown,jQuery,Higher Education,Unknown,AWS CodeWhisperer;GitHub Copilot;Mintlify;Tabnine,"Employed, full-time"
Tyger Valley Campus,IT,"I am not primarily a developer, but I write code sometimes as part of my work/studies",Marketing or sales professional,Some college/university study without earning a degree,APL;HTML/CSS,Unknown,Digital Ocean;Microsoft Azure,Play Framework,Insurance,Unknown,GitHub Copilot;Mintlify,"Employed, full-time"
Umhlanga Campus,Computer Science,I am a developer by profession,"Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);Lisp;PHP;Python;Scala,MySQL;Oracle,Unknown,Play Framework,Financial Services,Unknown,Adrenaline;AWS CodeWhisperer,"Employed, full-time"
Umhlanga Campus,Computer Science,"I am not primarily a developer, but I write code sometimes as part of my work/studies","Developer, desktop or enterprise applications","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Apex;Groovy;HTML/CSS;JavaScript;Perl;PHP;PowerShell;Python;SQL;VBA,IBM DB2;Microsoft Access;Microsoft SQL Server;MySQL;Oracle,Amazon Web Services (AWS);Microsoft Azure;Oracle Cloud Infrastructure (OCI);VMware,Drupal;Node.js;WordPress,Oil & Gas,Unknown,Adrenaline;AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.AI;Synk Code;Tabnine;Whispr AI,"Independent contractor, freelancer, or self-employed"
Pretoria Campus,Data Science,I am a developer by profession,Blockchain,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Assembly;Bash/Shell (all shells);C;C++;Dart;HTML/CSS;Java;JavaScript;Kotlin;MATLAB;Python;Rust;Solidity;SQL;TypeScript,Cloud Firestore;MongoDB;MySQL;PostgreSQL;SQLite;Supabase,Amazon Web Services (AWS);Digital Ocean;Firebase;Heroku;Netlify;Render;Vercel,Django;Express;Flask;Node.js;React;Vue.js,Retail and Consumer Services,ChatGPT;Phind,Adrenaline;AWS CodeWhisperer,"Student, full-time;Employed, part-time"
Nelson Mandela Bay Campus,Computer Science,I am a developer by profession,"Engineer, site reliability","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);C++;Go;JavaScript;Python;Ruby,Elasticsearch;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Google Cloud,Ruby on Rails,Retail and Consumer Services,ChatGPT,GitHub Copilot;Rubber Duck.AI;Tabnine,"Employed, full-time"
Nelson Mandela Bay Campus,IT,I am a developer by profession,"Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",HTML/CSS;JavaScript;PHP;Python;Solidity;SQL;TypeScript,MySQL,Unknown,Laravel;Next.js;Node.js,Advertising Services,ChatGPT;Google Bard AI,GitHub Copilot;Rubber Duck.AI,"Independent contractor, freelancer, or self-employed"
Nelson Mandela Bay Campus,IT,I am a developer by profession,"Developer, full-stack",Some college/university study without earning a degree,HTML/CSS;JavaScript;PHP;TypeScript,MariaDB;SQLite,Cloudflare;OVH;Vercel,Next.js;Node.js;Nuxt.js;React;Vue.js;WordPress,Insurance,ChatGPT,Adrenaline;AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter,"Employed, full-time;Independent contractor, freelancer, or self-employed"
Nelson Mandela Bay Campus,Data Science,I am a developer by profession,Engineering manager,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python,Unknown,Unknown,Unknown,Insurance,ChatGPT,Adrenaline;AWS CodeWhisperer;Codeium;Replit Ghostwriter;Synk Code;Tabnine;Whispr AI,"Employed, full-time"
Midrand Campus,IT,I am a developer by profession,"Developer, desktop or enterprise applications","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C#;PHP,Unknown,Unknown,Unknown,Financial Services,Unknown,GitHub Copilot;Whispr AI,"Employed, full-time"
Umhlanga Campus,IT,I am a developer by profession,"Developer, front-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);Go;Java;JavaScript;Swift;TypeScript,PostgreSQL;SQLite;Supabase,"Cloudflare;Fly.io;Linode, now Akamai;Netlify",Angular;AngularJS;Deno,Insurance,ChatGPT,GitHub Copilot;Replit Ghostwriter;Whispr AI,"Employed, full-time"
Umhlanga Campus,Data Science,I code primarily as a hobby,Unknown,Primary/elementary school,Bash/Shell (all shells);HTML/CSS;JavaScript;Lua;PHP;PowerShell;Python;SQL,MySQL,Unknown,Node.js;WordPress,"Manufacturing, Transportation, or Supply Chain",ChatGPT,Adrenaline;GitHub Copilot;Tabnine,"Student, full-time"
Midrand Campus,Data Science,I am a developer by profession,"Developer, game or graphics","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Assembly;C;C++;HTML/CSS;JavaScript,SQLite,Amazon Web Services (AWS);Digital Ocean,Unknown,Insurance,Unknown,GitHub Copilot;Mintlify;Replit Ghostwriter,"Employed, full-time"
Pretoria Campus,IT,I am a developer by profession,Data scientist or machine learning specialist,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Bash/Shell (all shells);C++;Dart;Python,Cloud Firestore;Firebase Realtime Database;MongoDB,Amazon Web Services (AWS);Firebase;Google Cloud;Oracle Cloud Infrastructure (OCI),FastAPI;Node.js,Legal Services,ChatGPT,AWS CodeWhisperer;GitHub Copilot;Mintlify,"Employed, full-time;Independent contractor, freelancer, or self-employed"
Nelson Mandela Bay Campus,IT,I am a developer by profession,"Developer, mobile","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);C#;C++;HTML/CSS;JavaScript;Kotlin;MATLAB;Python;SQL;Swift;TypeScript,H2;MongoDB;MySQL;PostgreSQL;SQLite,Cloudflare;Digital Ocean;Vercel;Vultr,Svelte,Retail and Consumer Services,ChatGPT;WolframAlpha,AWS CodeWhisperer;Codeium;GitHub Copilot;Tabnine,"Independent contractor, freelancer, or self-employed"
Nelson Mandela Bay Campus,IT,I am a developer by profession,"Developer, full-stack","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Bash/Shell (all shells);JavaScript;Ruby;SQL;TypeScript,PostgreSQL;Redis,Unknown,React;Ruby on Rails,Wholesale,Unknown,Codeium,"Employed, full-time"
Nelson Mandela Bay Campus,Computer Science,"I used to be a developer by profession, but no longer am",Data or business analyst,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);Java;PHP;Python;SQL,MariaDB;Microsoft SQL Server;MySQL;Oracle;PostgreSQL,Unknown,Node.js;WordPress,Healthcare,Unknown,AWS CodeWhisperer;Mintlify;Replit Ghostwriter;Synk Code;Tabnine,"Employed, full-time"
Pretoria Campus,IT,"I am not primarily a developer, but I write code sometimes as part of my work/studies",Student,Some college/university study without earning a degree,C#,Unknown,Microsoft Azure,Unknown,Wholesale,Bing AI;ChatGPT,Adrenaline;Tabnine,"Student, full-time;Employed, part-time"
Midrand Campus,Computer Science,I am learning to code,Unknown,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",C#;C++;GDScript;Go;HTML/CSS;Java;JavaScript;Python;TypeScript,Unknown,Vercel,Flask;Next.js;Node.js,Advertising Services,ChatGPT;Phind,Adrenaline;AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter;Whispr AI,"Student, full-time"
Nelson Mandela Bay Campus,Computer Science,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Python;SQL;TypeScript,Microsoft Access;MongoDB,Hetzner,Express;Lit;Node.js;React,Retail and Consumer Services,ChatGPT,Adrenaline;AWS CodeWhisperer;Codeium;Replit Ghostwriter;Synk Code;Tabnine;Whispr AI,"Independent contractor, freelancer, or self-employed"
Pretoria Campus,IT,"I am not primarily a developer, but I write code sometimes as part of my work/studies",Hardware Engineer,Some college/university study without earning a degree,Assembly;C;C++;JavaScript;Python,Unknown,Google Cloud,Node.js,Retail and Consumer Services,ChatGPT;WolframAlpha,AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter,"Employed, full-time"
Nelson Mandela Bay Campus,IT,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",PowerShell;Python;SQL,PostgreSQL,Microsoft Azure,Django,Insurance,Unknown,GitHub Copilot;Mintlify,"Employed, full-time"
Tyger Valley Campus,Data Science,I am a developer by profession,Data scientist or machine learning specialist,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Assembly;Bash/Shell (all shells);C;C#;C++;Delphi;GDScript;Java;JavaScript;Objective-C;PHP;Python;R;SAS;SQL;Swift;VBA;Visual Basic (.Net),IBM DB2;Microsoft Access;Microsoft SQL Server;MySQL;Oracle,Unknown,Unknown,Advertising Services,ChatGPT,Rubber Duck.AI,"Employed, full-time"
Tyger Valley Campus,IT,I am a developer by profession,"Developer, full-stack",Some college/university study without earning a degree,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;R;SQL,MariaDB;MySQL,Unknown,jQuery,"Information Services, IT, Software Development, or other Technology",ChatGPT,Whispr AI,"Independent contractor, freelancer, or self-employed"
Tyger Valley Campus,Computer Science,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Assembly;C;C++;Dart;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript;Visual Basic (.Net),MySQL;Oracle,Unknown,Express;jQuery;Laravel;Node.js,Other,ChatGPT,GitHub Copilot;Mintlify;Tabnine,"Independent contractor, freelancer, or self-employed;Student, full-time"
Midrand Campus,IT,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C#;HTML/CSS;JavaScript;Ruby;SQL;TypeScript,Microsoft SQL Server;Redis,Microsoft Azure,React,Higher Education,Unknown,AWS CodeWhisperer;Tabnine,"Employed, full-time"
Umhlanga Campus,IT,I code primarily as a hobby,Data scientist or machine learning specialist,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C++;Go;Java;JavaScript;Julia;Kotlin;PHP;Python;R;SQL;TypeScript,MongoDB;MySQL;PostgreSQL;SQLite,Amazon Web Services (AWS);Google Cloud,Angular;Django;Laravel;Node.js;React;Spring Boot;Svelte,Oil & Gas,Bing AI;ChatGPT,Adrenaline;AWS CodeWhisperer;Codeium;Mintlify;Rubber Duck.AI;Synk Code;Tabnine,"Independent contractor, freelancer, or self-employed;Not employed, but looking for work;Student, full-time"
Midrand Campus,Computer Science,I am a developer by profession,"Developer, full-stack","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",C;OCaml;Rust,Unknown,Digital Ocean,Unknown,Retail and Consumer Services,ChatGPT,Codeium;GitHub Copilot,"Independent contractor, freelancer, or self-employed"
Midrand Campus,IT,I am a developer by profession,Engineering manager,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",HTML/CSS;JavaScript;Lua;PHP;Python;Ruby;SQL;TypeScript,Dynamodb;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Heroku;Netlify;Vercel,Angular;ASP.NET;Deno;Express;Gatsby;Next.js;Node.js;Qwik;React;Remix;Ruby on Rails,Oil & Gas,ChatGPT,Adrenaline;GitHub Copilot;Tabnine,"Employed, full-time"
Umhlanga Campus,Computer Science,I am a developer by profession,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Go;HTML/CSS;Java;JavaScript;MATLAB;Python;SQL,Dynamodb;Elasticsearch;Firebase Realtime Database;MariaDB,Amazon Web Services (AWS);Firebase,Node.js;React;Spring Boot,Higher Education,Bing AI;ChatGPT,Tabnine,"Employed, full-time"
Umhlanga Campus,Computer Science,"I am not primarily a developer, but I write code sometimes as part of my work/studies",Unknown,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);C++;Python,Unknown,Unknown,Unknown,Legal Services,Bing AI;ChatGPT,Rubber Duck.AI;Synk Code,"Not employed, and not looking for work"
Nelson Mandela Bay Campus,Computer Science,I am a developer by profession,"Developer, embedded applications or devices",Something else,Bash/Shell (all shells);C;C++;HTML/CSS;Java;PowerShell;Rust;SQL,MariaDB;PostgreSQL;SQLite,Unknown,Unknown,Advertising Services,Unknown,Codeium;Synk Code;Whispr AI,"Employed, full-time"
Pretoria Campus,Computer Science,I am a developer by profession,"Developer, mobile","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Java;Kotlin;Perl;PowerShell;Python;SQL;Swift,MariaDB;MySQL;SQLite,Amazon Web Services (AWS);VMware,jQuery;Node.js;React,Higher Education,ChatGPT,AWS CodeWhisperer;GitHub Copilot;Mintlify,"Employed, full-time"
Midrand Campus,Data Science,I am a developer by profession,"Developer, back-end",Some college/university study without earning a degree,Bash/Shell (all shells);C++;Go;JavaScript;Lua;Perl;Python;SQL,IBM DB2;Oracle;PostgreSQL;Solr;SQLite,Amazon Web Services (AWS);Microsoft Azure,Unknown,Financial Services,ChatGPT,Codeium;GitHub Copilot,"Employed, full-time"
Tyger Valley Campus,Computer Science,I am learning to code,Unknown,Some college/university study without earning a degree,HTML/CSS;JavaScript;PHP;SAS,Firebase Realtime Database,Firebase;Netlify,jQuery;Next.js;Node.js;Qwik,Oil & Gas,Bing AI,Whispr AI,"Student, full-time"
Tyger Valley Campus,Computer Science,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript,MySQL;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);OpenShift,Node.js;React,"Information Services, IT, Software Development, or other Technology",Unknown,AWS CodeWhisperer;Codeium;Replit Ghostwriter;Synk Code;Tabnine,"Employed, full-time"
Umhlanga Campus,Data Science,I am a developer by profession,"Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript;Visual Basic (.Net),Microsoft SQL Server,Amazon Web Services (AWS);Microsoft Azure,ASP.NET;ASP.NET CORE;React,Advertising Services,Unknown,GitHub Copilot;Synk Code;Whispr AI,"Independent contractor, freelancer, or self-employed"
Umhlanga Campus,Data Science,I am a developer by profession,Academic researcher,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Dart;Python;SQL,Microsoft SQL Server;MySQL,Unknown,Unknown,Retail and Consumer Services,Bing AI;ChatGPT,Adrenaline;GitHub Copilot;Rubber Duck.AI,"Employed, full-time"
Nelson Mandela Bay Campus,Computer Science,I am a developer by profession,Blockchain,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Lua;Rust,Unknown,Unknown,Unknown,Legal Services,Unknown,AWS CodeWhisperer;Tabnine,"Employed, full-time;Independent contractor, freelancer, or self-employed"
Midrand Campus,IT,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Ruby;TypeScript,MySQL;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Digital Ocean,Node.js;React;Ruby on Rails,Other,ChatGPT,GitHub Copilot;Replit Ghostwriter,"Employed, full-time"
Umhlanga Campus,Data Science,I am a developer by profession,DevOps specialist,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Assembly;Bash/Shell (all shells);C;C++;Python,Unknown,OpenStack,Unknown,Wholesale,Unknown,Adrenaline;AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.AI;Synk Code;Tabnine;Whispr AI,"Employed, full-time"
Pretoria Campus,IT,I am learning to code,Student,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Python;SQL,Unknown,Unknown,Unknown,Oil & Gas,Unknown,Adrenaline;GitHub Copilot;Rubber Duck.AI;Tabnine,"Not employed, but looking for work"
Umhlanga Campus,IT,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Assembly;Bash/Shell (all shells);C;Elixir;Erlang;Objective-C;Rust,PostgreSQL;SQLite,Fly.io,Phoenix,"Information Services, IT, Software Development, or other Technology",ChatGPT,AWS CodeWhisperer;Replit Ghostwriter;Tabnine,"Employed, full-time"
Pretoria Campus,Data Science,I am a developer by profession,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);Java;Kotlin;Python;SQL;TypeScript,Cassandra;Dynamodb;MongoDB;PostgreSQL;Redis,Amazon Web Services (AWS),Fastify;Node.js;Spring Boot,Advertising Services,ChatGPT;WolframAlpha,GitHub Copilot;Replit Ghostwriter,"Employed, full-time"
Pretoria Campus,IT,I am learning to code,"Developer, full-stack",Some college/university study without earning a degree,HTML/CSS;JavaScript;PHP;SQL,MySQL,Amazon Web Services (AWS),jQuery,"Manufacturing, Transportation, or Supply Chain",ChatGPT,AWS CodeWhisperer;Codeium;Tabnine;Whispr AI,"Independent contractor, freelancer, or self-employed"
Umhlanga Campus,Computer Science,I am a developer by profession,"Developer, full-stack",Some college/university study without earning a degree,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;PowerShell;Python;Ruby;SQL;VBA,MariaDB;MySQL;PostgreSQL,Amazon Web Services (AWS),Ruby on Rails,Other,Unknown,Adrenaline;Tabnine,"Employed, full-time"
